"Month","Drywhite","Fortified","Red","Rose","Sparkling","Sweetwhite"
"1980-01",1954,2585,464,112,1686,85
"1980-02",2302,3368,675,118,1591,89
"1980-03",3054,3210,703,129,2304,109
"1980-04",2414,3111,887,99,1712,95
"1980-05",2226,3756,1139,116,1471,91
"1980-06",2725,4216,1077,168,1377,95
"1980-07",2589,5225,1318,118,1966,96
"1980-08",3470,4426,1260,129,2453,128
"1980-09",2400,3932,1120,205,1984,124
"1980-10",3180,3816,963,147,2596,111
"1980-11",4009,3661,996,150,4087,178
"1980-12",3924,3795,960,267,5179,140
"1981-01",2072,2285,530,126,1530,150
"1981-02",2434,2934,883,129,1523,132
"1981-03",2956,2985,894,124,1633,155
"1981-04",2828,3646,1045,97,1976,132
"1981-05",2687,4198,1199,102,1170,91
"1981-06",2629,4935,1287,127,1480,94
"1981-07",3150,5618,1565,222,1781,109
"1981-08",4119,5454,1577,214,2472,155
"1981-09",3030,3624,1076,118,1981,123
"1981-10",3055,2898,918,141,2273,130
"1981-11",3821,3802,1008,154,3857,150
"1981-12",4001,2369,1063,226,4551,163
"1982-01",2529,2369,544,89,1510,101
"1982-02",2472,2511,635,77,1329,123
"1982-03",3134,3079,804,82,1518,127
"1982-04",2789,3728,980,97,1790,112
"1982-05",2758,4151,1018,127,1537,108
"1982-06",2993,4326,1064,121,1449,116
"1982-07",3282,5054,1404,117,1954,153
"1982-08",3437,5138,1286,117,1897,163
"1982-09",2804,3310,1104,106,1706,128
"1982-10",3076,3508,999,112,2514,142
"1982-11",3782,3790,996,134,3593,170
"1982-12",3889,3446,1015,169,4524,214
"1983-01",2271,2127,615,75,1609,134
"1983-02",2452,2523,722,108,1638,122
"1983-03",3084,3017,832,115,2030,142
"1983-04",2522,3265,977,85,1375,156
"1983-05",2769,3822,1270,101,1320,145
"1983-06",3438,4027,1437,108,1245,169
"1983-07",2839,4420,1520,109,1600,134
"1983-08",3746,5255,1708,124,2298,165
"1983-09",2632,4009,1151,105,2191,156
"1983-10",2851,3074,934,95,2511,111
"1983-11",3871,3465,1159,135,3440,165
"1983-12",3618,3718,1209,164,4923,197
"1984-01",2389,1954,699,88,1609,124
"1984-02",2344,2604,830,85,1435,124
"1984-03",2678,3626,996,112,2061,139
"1984-04",2492,2836,1124,87,1789,137
"1984-05",2858,4042,1458,91,1567,127
"1984-06",2246,3584,1270,87,1404,134
"1984-07",2800,4225,1753,87,1597,136
"1984-08",3869,4523,2258,142,3159,171
"1984-09",3007,2892,1208,95,1759,112
"1984-10",3023,2876,1241,108,2504,110
"1984-11",3907,3420,1265,139,4273,147
"1984-12",4209,3159,1828,159,5274,196
"1985-01",2353,2101,809,61,1771,112
"1985-02",2570,2181,997,82,1682,118
"1985-03",2903,2724,1164,124,1846,125
"1985-04",2910,2954,1205,93,1589,122
"1985-05",3782,4092,1538,108,1896,120
"1985-06",2759,3470,1513,75,1379,118
"1985-07",2931,3990,1378,87,1645,281
"1985-08",3641,4239,2083,103,2512,344
"1985-09",2794,2855,1357,90,1771,366
"1985-10",3070,2897,1536,108,3727,362
"1985-11",3576,3433,1526,123,4388,580
"1985-12",4106,3307,1376,129,5434,523
"1986-01",2452,1914,779,57,1606,348
"1986-02",2206,2214,1005,65,1523,246
"1986-03",2488,2320,1193,67,1577,197
"1986-04",2416,2714,1522,71,1605,306
"1986-05",2534,3633,1539,76,1765,279
"1986-06",2521,3295,1546,67,1403,280
"1986-07",3093,4377,2116,110,2584,358
"1986-08",3903,4442,2326,118,3318,431
"1986-09",2907,2774,1596,99,1562,448
"1986-10",3025,2840,1356,85,2349,433
"1986-11",3812,2828,1553,107,3987,504
"1986-12",4209,3758,1613,141,5891,579
"1987-01",2138,1610,814,58,1389,384
"1987-02",2419,1968,1150,65,1442,335
"1987-03",2622,2248,1225,70,1548,320
"1987-04",2912,3262,1691,86,1935,496
"1987-05",2708,3164,1759,93,1518,448
"1987-06",2798,2972,1754,74,1250,377
"1987-07",3254,4041,2100,87,1847,523
"1987-08",2895,3402,2062,73,1930,468
"1987-09",3263,2898,2012,101,2638,428
"1987-10",3736,2555,1897,100,3114,520
"1987-11",4077,3056,1964,96,4405,493
"1987-12",4097,3717,2186,157,7242,662
"1988-01",2175,1755,966,63,1853,304
"1988-02",3138,2193,1549,115,1779,308
"1988-03",2823,2198,1538,70,2108,313
"1988-04",2498,2777,1612,66,2336,328
"1988-05",2822,3076,2078,67,1728,354
"1988-06",2738,3389,2137,83,1661,338
"1988-07",4137,4231,2907,79,2230,483
"1988-08",3515,3118,2249,77,1645,355
"1988-09",3785,2524,1883,102,2421,439
"1988-10",3632,2280,1739,116,3740,290
"1988-11",4504,2862,1828,100,4988,352
"1988-12",4451,3502,1868,135,6757,454
"1989-01",2550,1558,1138,71,1757,306
"1989-02",2867,1940,1430,60,1394,303
"1989-03",3458,2226,1809,89,1982,344
"1989-04",2961,2676,1763,74,1650,254
"1989-05",3163,3145,2200,73,1654,309
"1989-06",2880,3224,2067,91,1406,310
"1989-07",3331,4117,2503,86,1971,379
"1989-08",3062,3446,2141,74,1968,294
"1989-09",3534,2482,2103,87,2608,356
"1989-10",3622,2349,1972,87,3845,318
"1989-11",4464,2986,2181,109,4514,405
"1989-12",5411,3163,2344,137,6694,545
"1990-01",2564,1651,970,43,1720,268
"1990-02",2820,1725,1199,69,1321,243
"1990-03",3508,2622,1718,73,1859,273
"1990-04",3088,2316,1683,77,1628,273
"1990-05",3299,2976,2025,69,1615,236
"1990-06",2939,3263,2051,76,1457,222
"1990-07",3320,3951,2439,78,1899,302
"1990-08",3418,2917,2353,70,1605,285
"1990-09",3604,2380,2230,83,2424,309
"1990-10",3495,2458,1852,65,3116,322
"1990-11",4163,2883,2147,110,4286,362
"1990-12",4882,2579,2286,132,6047,471
"1991-01",2211,1330,1007,54,1902,198
"1991-02",3260,1686,1665,55,2049,253
"1991-03",2992,2457,1642,66,1874,173
"1991-04",2425,2514,1518,65,1279,186
"1991-05",2707,2834,1831,60,1432,185
